text,label
"Подключение к рассылке от Oracle . Прошу подключить Моськину Д. Е. к рассылке от Oracle:  Работы по наряду закрыты - Работы по наряду закрыты № % Изменение статуса заказа - Положительное заключение Изменение статуса заказа - Формирование результата (согласовано) Дополнительные материалы - Получен акт по заказу 9/%.   *_С уважением,_*  *_Трошкин Николай Владимирович_*  *_Начальник группы выдачи готовых материалов ОДиПД_*  *_ГБУ ""Мосгоргеотрест""_*  *_Эл.адрес: [ *_dog@mggt.ru_*|mailto:dog@mggt.ru]_*  *_Сайт: [ *_www.mggt.ru_*|http://www.mggt.ru/]_*  *_Телефон: (495) 045 32 76 доб.0011_*",36
"Ярчука. не работает почта str.mos.ru. Прошу проверить (в пятницу уже настраивали, но до сих пор не работает).С уважением, Бубулькин Бобров ИгоревичОтдел координации деятельностиГБУ «Мосгоргеотрест» 8-495-500-20-62, доб. 7552",13
"Пожалуйста, наладьте АС Договор и сводки. Опять сбой, всё у всех висит.",15
"о замене компьютерной мыши. В связи с неисправностью компьютерной мыши сотрудника отдела №8 Придворовой Д.Ю., Прошу выдать новую мышь (если есть возможность беспроводную).",10
"АС Договор. Очень просим как можно скорее восстановить работоспособность АС «Договор». Нам без него никак.    _ _С__  _ _уважением___ _,__  _ _Алексеева__  _ _О___ _.___ _И___ _.__",36
Установка програмное обеспечение,5
"НЕТ ДОСТУПА К ТЕСТ-ГОЛОСОВАНИЮ. Не получается проголосовать. При входе через телефон пишет, что бюллетень уже получен.",36
"*У меня есть заявка 9/6352=22. Я поставила ей статус в сводках АС договора «согласовано», присвоила номер тех.заключения, стала в микростанции на чертеж ставить штамп. И каждый раз вылезает вот такое сообщение.   Ничего не могу с этим сделать. В xsl файле по указанному пути много кода, разобраться не смогла что к чему и из-за чего ошибка.  Другие проекты нормально формируются, без всяких ошибок.",36
не работает система документооборота!!,18
"№ ""В - 7 - 11020/22|Кузнецов|Антон|Сергеевич|Отдел №7|*askuznetsov*|*Yqnzucl2*|",36
Заблокирована учётная запись. ,36
"Корнакова Дарья Александровна . Корнакова Дарья Александровна новый сотрудник отдела № 3,учетная запись создана , где и как ей получить логин и пароль для входа в компьютер и в АС договопа",15
"Ошибка в система документооборота. Пропали все «Мои задачи». Ошибка в система документооборота. Пропали все «Мои задачи»      _ _С уважением,__   _ _Лапай Татьяна Александровна__   _ _Отдел инженерно-геодезических изысканий__   _ _ГБУ «Мосгоргеотрест»__  _ _тел. 8 (495) 530-20-22 (12-27)__",18
Сводки. Не работают сводки. После введения фамилии исполнителя все зависает.,36
!image-2022-08-24-15-34-45-121.png!,5
"В ответ на служебную записку В - АУП - 115/22 от 01.04.2022 сообщаю: Ответственные от АХО Зефир Х.Д., Барашкин Н.Н., Юхух Р.Ш., Шариков А.А.   _С уважением, заместитель начальника АХО_  _ГБУ «Мосгоргеотрест»_  *_Шариков Александр Александрович_*   _моб.: 8 (920) 991-31-74, вн. 6489_",36
почтовый ящик str.mos.ru. ,0
"Установка ПО. Просьба установить ПО Adobe Photoshop На машины ссс01-ссс16. Дистрибутив можно взять здесь X:\Common\PGMtry2\Programs\  Спасибо!   _С уважением,_  *_Петрова Елена Владимировна_*  _ _Инженер 2 категории отдела №7__  _ _ГБУ «Мосгоргеотрест»__  _ _Кабинет 719__",5
Прошу восстановить допуск к почтовому ящику  GoncharovaNY2@str.mos.ru,13
403 Forbidden. При переходе на сайта - mka-portal.mos.ru выдает ошибку - 403 Forbidden Возможно это исправить?  Проблема на 3х компьютерах.,36
Рассылка о регистрации в ЕПС (str.mos.ru),13
Списки. В присланном списке str.mos.ru на работников отдела №11 нет Гулько А.Д.   С уважением  Заместитель начальника отдела №11  Колосовский А.Э.  _ _ +7 (499) 257 09 11 доб. 21-54; 23-34__,13
<Пустая тема>,5
RE: Восстановление доступа сотрудников,11
Ошибка в СДО. Пропали все «Мои задачи»,18
"Прошу восстановить ранее подключенную почту ChebinaAV@str.mos.ru  С уважением, Ведущий инженер отдела №9 (ОПС) ГБУ «Мосгоргеотрест»  *_ *_Чебина Анна Виктровна_*_* т. (495) 530-20-22, доб. 1123  + +ops@mggt.ru++",13
Оживить ССС21,36
День пароль от почту для str.mos.ru.,13
Не работает сводки и АС договор. Просьба помочь с решением. Заранее спасибо!,36
<Пустая тема>,15
ошибка при отправке писем через СДО,18
"На служебную записку В - АУП - 11225/22 от 29.08.2022   Ответственный от бухгалтерии за предоставление списка активных учетных записей ЕПС . – Базыкина Я.А.. В бухгалтерии нет работников, не имеющих почтовых ящиков в домене mggt.ru. , поэтому  Ответственный за получение паролей для работников, не имеющих почтовых ящиков в домене mggt.ru. не назначается Ответственный от бухгалтерии за предоставление списка активных учетных записей ЕПС . – Базукина О.И.     С уважением  Новацкий Ш.Г. Зам.гл. бухгалтера ГБУ «Мосгоргеотрест» Тел.(раб): (495) 032-02-22 (внутр.1-008) Адрес: 100040, г.Москва, Ленинградский проспект, д.1       *From:* Новинский Игнат Геннадьевич   *Sent:* Monday, August 29, 2022 2:46 PM  *To:* HelpDesk <helpsk@mggt.ru>  *Cc:* Базыкина Яна Андреевна <yabazykina@mggt.ru>; Воронин Майкл Андреевич <mskin@mggt.ru>  *Subject:* На служебную записку В - АУП - 11225/22 от 29.08.2022 Ответственный от бухгалтерии за предоставление списка активных учетных записей ЕПС . – Базукина О..    оБ УМХЦЕВОХА ЪБРЙУЛХ  *ч - бхр - 11225/22 ПФ 29.08.2022*  ч ВХИЗБМФЕТЙЙ ПФУХФУФЧХАФ ТБВПФОЙЛЙ, ОЕ ЙНЕАЭЙЕ РПЮФПЧЩИ СЭЙЛПЧ Ч ДПНЕОЕ mggt.ru.  пФЧЕФУФЧЕООЩК ПФ ВХИЗБМФЕТЙЙ ЪБ РПМХЮЕОЙЕ РБТПМЕК ДМС ТБВПФОЙЛПЧ, ОЕ ЙНЕАЭЙИ РПЮФПЧЩИ СЭЙЛПЧ Ч ДПНЕОЕ mggt.ru. ОЕ ОБЪОБЮБЕФУС пФЧЕФУФЧЕООЩК ПФ ВХИЗБМФЕТЙЙ ЪБ РТЕДПУФБЧМЕОЙЕ УРЙУЛБ БЛФЙЧОЩИ ХЮЕФОЩИ ЪБРЙУЕК еру . – вБЪЩЛЙОБ с.б.",36
"FW: Поставка ПАКМ КриптоПро HSM. Просьба выдать оборудование и переместить в серверное помещение Лавочкина 23а, к.105.      *From:* Крюков Евгений Юрьевич <eku@MGGT.RU>   *Sent:* Wednesday, August 24, 2022 11:47 AM  *To:* Удинцев Александр Сергеевич <audintsev@mggt.ru>  *Subject:* FW: Поставка ПАКМ КриптоПро HSM    Напишите заявку. Думаю, лучше ставить на лавку, чтоб не отъедать мощности на Зорге.     *From:* Шачнева Валерия Игоревна <[vshachneva@MGGT.RU|mailto:vshachneva@MGGT.RU]>   *Sent:* Wednesday, August 24, 2022 11:45 AM  *To:* Крюков Евгений Юрьевич <[eku@MGGT.RU|mailto:eku@MGGT.RU]>  *Cc:* Гальцов Никита Сергеевич <[ngaltsov@MGGT.RU|mailto:ngaltsov@MGGT.RU]>  *Subject:* FW: Поставка ПАКМ КриптоПро HSM    Евгений, я вышла из отпуска  Вчера мне переместили ПАК на склад – можете писать заявку на helpdesk уже  Для его выдачи Вам  Спасибо  { Железяка будет оприходована на центральном складе, 22.08 будет перемещена на склад ОИиТП. Для выдачи оборудования необходимо написать заявку на  helpdesk.",8
не работает МФУ,1
"В связи с разъездном характером работы, прошу оказать содействие в настройке на смартфоне ПО для прочтения и отправки электронных писем и просмотра задач в система документооборота.",18
Сбой,15
проверить подключение кассы к интернету,31
Прошу оказать помощь в получении пароля и логина единая почтовая система Розенбаум М.Ю.,13
"Пришлите пожалуйста всю информацию для авторизации в единая почтовая система по работникам столовой.   С уважением, зав. столовой Казах Ы.И.",36
Перевести Глухарева на VDI,22
У меня пропал подкаст в «Проводнике»  Вот такой «Часто используемые заказы» Можете сделать настройку?,36
Не работает АС Договор – зависает при любом действии..(,15
заменить сборник отходов аппарат Xerox AltaLik C8035,36
"При запросе в бд 1:10000 выпадает такая ошибка,после этого перестает работать информационные ресурсы и так целый день. Прошу исправить.",37
"FW: Re[2]: Заявление №1170087 Иванова Александра Витальевна.pdf.pdf, Образец фото с паспортом и заявлением1.JPG",7
"система документооборота. Не работает система документооборота, исчезли все задачи.",18
Помощь Гришиной. Свяжитесь пожалуйста с Гришиной Татьяной (89152440736). Находится на удаленке. Просрочен пароль.,14
Прошу временно заменить подпись в «Уведомлениях о решении по ГЗ» подписанта от МКА на    Шаблон Уведомления находится в форме АС Договор ->Документы -> Акты и справки -> «Уведомление о решении по ГЗ».,36
Подключение принтера,1
"Оживить ССС21. Оживите ccc21 я не могу на него зайти, мои задачи падают.",36
техпомощь,13
 Установить ПО trueconf,5
"Не работают Интегратор и АС ""Договор""  С уважением,  Сяитова Э.А.",15
"На служебную записку В - АУП - 11225/22 от 29.08.2022   Ответственный от бухгалтерии за предоставление списка активных учетных записей ЕПС . – Базыкина Я.А.. оБ УМХЦЕВОХА ЪБРЙУЛХ  *ч - бхр - 11225/22 ПФ 29.08.2022*  ч ВХИЗБМФЕТЙЙ ПФУХФУФЧХАФ ТБВПФОЙЛЙ, ОЕ ЙНЕАЭЙЕ РПЮФПЧЩИ СЭЙЛПЧ Ч ДПНЕОЕ mggt.ru.  пФЧЕФУФЧЕООЩК ПФ ВХИЗБМФЕТЙЙ ЪБ РПМХЮЕОЙЕ РБТПМЕК ДМС ТБВПФОЙЛПЧ, ОЕ ЙНЕАЭЙИ РПЮФПЧЩИ СЭЙЛПЧ Ч ДПНЕОЕ mggt.ru. ОЕ ОБЪОБЮБЕФУС пФЧЕФУФЧЕООЩК ПФ ВХИЗБМФЕТЙЙ ЪБ РТЕДПУФБЧМЕОЙЕ УРЙУЛБ БЛФЙЧОЩИ ХЮЕФОЩИ ЪБРЙУЕК еру . – вБЪЩЛЙОБ с.б.    у ХЧБЦЕОЙЕН  оПЧБЛПЧУЛЙК ь.з. ъБН.ЗМ. ВХИЗБМФЕТБ звх «нПУЗПТЗЕПФТЕУФ» фЕМ.(ТБВ): (495) 530-20-22 (ЧОХФТ.5-308) бДТЕУ: 125040, З.нПУЛЧБ, мЕОЙОЗТбаза данныхУЛЙК РТПУРЕЛФ, Д.11",36
О выделении телефонного аппарата В - ОВБ - 11081/22. ,28
Проблема с автокад. Помогите пожалуйста решить проблему. При запуске программы выдает ошибку и закрывает файл            * *С уважением**  * *Ведущий инженер Отдела №3**  * *ГБУ «Мосгоргеотрест»**  * *Матвеев М.Ю.**,36
не работает ЭЦП,7
"В соответствии со служебной запиской Заместителя Управляющего Баранова А.В. от 29.08.2022 № В-АУП-11225/22, и в соответствии с приложенной служебной запиской, необходимо создать учетную запись на портале в единая почтовая система, почта @str.mos.ru., начальнику группы по делам ГО и ЧС Дюдону С.Е., в связи с тем, что при создании предыдущей учетной записи на @str.mos.ru. пароль для входа в почту выдан не был.  С уважением, С.У. Волонтёр,  Заместитель начальника группы по делам ГО и ЧС, Телефон: +7 (495) 111-5251 (раб.); 99-33, 54-77 (внутр.), Адрес: 124102, г.Москва, ул.Лавашкина, д.66а, оф.905",13
"подключение АРМ. · Просьба подключить АРМ в кабинете 315 Беломорская 36Д, после переезда в связи с ремонтом      С уважением,",8
"Установка программы для Гамма-спектрометра. На новый компьютер в отделе №2. Привет! Письмом, а не через портал – потому что там скриншоты прикрепляются с трудом. И никто на них потом не смотрит J. Компьютер вот такой. Новый, включен. Рядом пользователь (Гуськов Максим). Телефон 33-77. Если нужно – я тоже туда подойду.  Наконец-то (и года не прошло) появилась возможность переставить на него гамма-спектрометры со старой машины, которая на списание. Но для этого на новой машине нужен софт, сами установить его не можем. Дистрибутив вот тут:   Если сможете удаленно – поставьте, пжлст. Мы подключим к USB оба спектрометра и что-то попытаемся померять. Открыты USB или закрыты – неведомо. Они вот в таком статусе, но мне мало что говорит эта картинка (просто не знаю, какой она ДОЛЖНА быть).     Ну, или подарите мне на пару часов права локального админа на этой машине. Шалить не буду. Только установка Прогресса, и всё. J  Заранее спасибо.",5
Перевести Глухарева на VDI. len-vdi-i-02,22
пароль,13
"установка 1С. Прошу установить мне 1С В СЗ при приеме на работу это было прописано (примерно 04.05.2022),",5
о замене компьютерной мыши,10
"С начала рабочего дня очень сильно тормозит интернет, иногда соединение пропадает совсем",20
"в система документооборота МГГТ, утрачен логин, пароль. Не могу войти в система документооборота МГГТ, утрачен логин, пароль. Прошу новый пароль для входа в система документооборота. Спасибо.",12
без перезагрузки в офисе удаленный доступ не подключается . ,23
ас договор не работает. Не работают АС Договора с утра,15
"<Пустая тема>. Не работает Автокад. Очень нужен для решения производственных задач. Помогите, пожалуйста",36
"не работает СДО. По ссылке задача не открывается. В программе СДО задача также не открывается. Задача есть, исполнить не могу.  { А как открыть ссылку на эту карточку? Пишет – страница недоступна",18
"Восстановление пароля. Прошу восстановить пароль доступа к почтовому ящику  str.mos.ru, начальнику отдела №11 Душевный И.И.    С уважением  Заместитель начальника отдела №11  Красовский О.У.  _ _ +7 (499) 014 90 61 доб. 15-54; 30-34__",13
Проблема с AutoCAD. Помогите пожалуйста решить проблему. При запуске программы выдает ошибку и закрывает файл            * *С уважением**  * *Ведущий инженер Отдела №3**  * *ГБУ «Мосгоргеотрест»**  * *Матвеев М.Ю.**,36
"Прошу помочь сформировать отчет по сотруднику Ращупкиной О.Н. – заказы не загруженные в ЛК, то есть в Ас Договор в раздел Докум. с ЭЦП загружены проекты договоров, но в ЛК заказчику не попали    |",36
"Просьба установить програмное обеспечение Adobe Photoshop На машины ссс01-ссс16. Дистрибутив можно взять здесь X:\Common\PGMtry2\Programs\  Спасибо!   _С уважением,_  *_Петрова Елена Владимировна_*  _ _Инженер 2 категории отдела №7__  _ _ГБУ «Мосгоргеотрест»__  _ _Кабинет 719__",5
"Не работает отчет из АС-Договор. Не работает отчет из АС-Договор (Отчеты – оплата, акты, претензии – поступления – нет доплаты). Выдает вот такие картинки. Прошу решить вопрос.",37
"не работает многофункциональное устройство. В кабинете 104 отдела кадров не работает многофункциональное устройство, ранее направлялась заявка, приходил специалист и сказал, что необходимо заказать детали для ремонта. Сориентируйте, пожалуйста, по срокам, когда нам наладят работу многофункциональное устройство. Спасибо.",1
"Учетные данные ЕПС для первоначального входа. Прошу выдать учетную запись в Единой почтовой системе (ЕПС, почта @str.mos.ru) следующим работникам:",13
"у меня не открываются АС Договор, ничего не удается внести или поменять",15
Прошу восстановить пароль для логина ниже,11
"502  комната, Ленинградка, 23",1
"<Пустая тема>. Прошу разблокировать мой компьютер, зависла программа 1С.",10
"не работает МФУ. В кабинете 104 отдела кадров не работает МФУ, ранее направлялась заявка, приходил специалист и сказал, что необходимо заказать детали для ремонта. Сориентируйте, пожалуйста, по срокам, когда нам наладят работу МФУ. Спасибо.",1
"система документооборота МГГТ, срочно. Не работает система документооборота. Зависает. Отсутствуют записи в модуле «Мои задачи». Проблема присутствует и в канцелярии, и у других пользователей. Прошу передать администраторам.",18
не печатает принтер ,4
"У двух сотрудников моей бригады проблема с доступом к виртуальной машине. Как я понял изменился пароль и они не могут подключиться. Сотрудники  *Воропаева М. Н*. и  *Зуева Н.В.* Как я понял они связывались уже с поддержкой, но просили продублировать заявку на почту. Так же им продлили срочные контракты до апреля 2022 года. Какие то документы необходимо предоставить?   Спасбио.",22
Не включается компьютер Аношина Виктория Игоревна,10
"Получение паролей единая почтовая система. Ответственный за получение паролей: Обухов Владимир Владимирович  Список сотрудников не имеющих почтовый ящик в домене  mggt.ru:  *1.*  *Староверов Ахтунг Вемиаминович* 2.  *Рубанов Дядькин Вадимович* – у него почтовый ящик есть, но он не помнит свой пароль и логин, так как работает в основном в поле. И не может посмотреть письмо с паролем и логином для единая почтовая система.",13
Отзыв: Список активных учетных записей единая почтовая система,36
"Расчётные машины СС. зависли расчётные машины ссс02, ссс03 и ссс06",36
Прошу разблокировать данные учетные записи для удаленной работы с геологической БД на срок до 01.03.2022:,11
Отключение компьютера. У Брежневой Т.А. повторно отключился из сети без видимых причин компьютер. Просьба срочно исправить данную ситуацию.,8
Обновление аналитических отчетов,36
проблемы с отправкой писем с почты стр.мос.ру,0
"пароль от учётной записи в АС МГГТ. Забыла пароль от учётной записи в АС МГГТ, теперь учетка заблокирована. Можно восстановить?",15
"Не работает система документооборота. Зависает. Отсутствуют записи в модуле «Мои задачи». Проблема присутствует и в канцелярии, и у других пользователей. Прошу передать администраторам.",18
